,molecule_chembl_id,IC50,units,smiles,pIC50,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled
92,CHEMBL1477,10.0,nM,COCc1c(C(C)C)nc(C(C)C)c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)O)c1-c1ccc(F)cc1,8.0,459.24210140799994,5,3,4.8807000000000045,True
93,CHEMBL3349828,10.8,nM,CCC(C)(C)C(=O)O[C@@H]1C2C(=C[C@H](C)[C@H]1CO)C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1,7.966576244513051,448.2824889999999,6,2,3.804000000000003,True
94,CHEMBL1064,11.2,nM,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,7.950781977329818,418.2719243159999,5,1,4.585600000000005,True
95,CHEMBL228954,11.7,nM,CC(C)n1c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)c2c3ccccc3[nH]c(=O)c21.[Na+],7.931814138253838,502.18799449600004,6,3,0.05830000000000096,True
96,CHEMBL249884,12.0,nM,CCNC(=O)c1c(-c2ccccc2)c(-c2ccc(F)cc2)c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])n1C(C)C.[Na+],7.920818753952375,532.2349446879999,6,3,0.4803000000000004,True
97,CHEMBL3349544,12.1,nM,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)C21,7.91721462968355,418.2719243159999,5,1,4.585600000000005,True
98,CHEMBL399360,12.4,nM,CC(C)n1c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)c(-c2ccc(F)cc2)c1C(=O)Nc1ccccc1.[Na+],7.906578314837764,598.2255228760001,6,3,2.122,True
99,CHEMBL3349824,13.3,nM,CCC(C)(C)C(=O)O[C@@H]1C2C(=C[C@H](C)[C@@H]1O)C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1,7.876148359032914,434.2668389359999,6,2,3.5564000000000027,True
100,CHEMBL389441,13.9,nM,CC(C)n1c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)c2c3ccccc3n(Cc3ccccc3)c(=O)c21.[Na+],7.856985199745905,592.2349446880002,7,2,1.5799999999999996,True
101,CHEMBL250500,15.0,nM,CC(C)NC(=O)c1c(-c2ccccc2)c(-c2ccc(F)cc2)c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])n1C(C)C.[Na+],7.823908740944319,546.250594752,6,3,0.8688000000000008,True
102,CHEMBL389217,16.4,nM,CC(C)n1c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)c2c3ccccc3n(-c3ccc(F)cc3)c(=O)c21.[Na+],7.785156151952302,596.2098728120001,7,2,1.6599999999999995,True
103,CHEMBL438662,16.7,nM,CC(C)n1c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)c2c3ccccc3n(-c3ccccc3)c(=O)c21.[Na+],7.777283528852417,578.2192946240001,7,2,1.5208999999999997,True
104,CHEMBL3970138,16.8,nM,CCC(C)C(=O)OC1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)NO)[C@H]21,7.774690718274137,437.27773796799994,6,4,3.136400000000001,True
105,CHEMBL2367470,17.0,nM,O=C([O-])C[C@H](O)C[C@H](O)/C=C/c1c(C(F)(F)F)nn(-c2ccccn2)c1-c1ccc(F)cc1.[Na+],7.769551078621726,487.11311321600004,7,2,-0.6387,True
106,CHEMBL333443,18.0,nM,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)C21,7.744727494896693,404.2562742519999,5,1,4.195500000000004,True
107,CHEMBL2368185,18.0,nM,CC(C)c1nc(-c2ccc(F)cc2)nc(-c2ccc(F)cc2)c1/C=C/[C@@H]1C[C@@H](O)CC(=O)O1,7.744727494896693,450.1754990679999,5,1,5.291900000000006,True
109,CHEMBL250090,20.0,nM,CC(C)n1c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)c(-c2ccccc2)c1C(=O)N(C)C.[Na+],7.698970004336019,532.234944688,6,2,0.432400000000001,True
110,CHEMBL303515,20.0,nM,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CCC(O)C[C@@H](O)CC(=O)[O-])[C@H]21.[Na+],7.698970004336019,444.24878318399993,6,2,-0.6150999999999964,True
111,CHEMBL2368197,20.0,nM,CC(C)c1nc(C(C)(C)C)cc(-c2ccc(F)cc2)c1/C=C/[C@@H]1C[C@@H](O)CC(=O)O1,7.698970004336019,411.2209720399999,4,1,5.388300000000007,True
112,CHEMBL2368205,20.0,nM,Cc1ccc(C)c(-c2cc(-c3ccc(F)cc3)c(/C=C/[C@@H]3C[C@@H](O)CC(=O)O3)c(C(C)C)n2)c1,7.698970004336019,459.22097203999994,4,1,6.374640000000007,True
114,CHEMBL2367477,24.0,nM,CC(C)c1nn(-c2ccccn2)c(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-].[Na+],7.619788758288394,461.17267877999996,7,2,-0.5340999999999989,True
115,CHEMBL2368189,26.0,nM,CC(C)c1nc(C2CCCCC2)nc(-c2ccc(F)cc2)c1/C=C/[C@@H]1C[C@@H](O)CC(=O)O1,7.585026652029182,438.23187107199993,5,1,5.533500000000008,True
116,CHEMBL2220442,28.0,nM,CC(C)n1c(/C=C/C(O)CC(O)CC(=O)O)c(-c2ccc(F)cc2)c2ccccc21,7.552841968657781,411.18458653199997,4,3,4.628100000000003,True
117,CHEMBL54440,28.4,nM,CC[C@H](C)C(=O)O[C@H]1CCC=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,7.546681659952962,390.2406241879999,5,1,3.949500000000003,True
118,CHEMBL1144,30.0,nM,CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21,7.522878745280337,424.24610349199986,6,4,2.4404000000000003,True
120,CHEMBL228583,37.4,nM,CC(C)n1c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)c2c3ccccc3n(Cc3cccc(F)c3)c(=O)c21.[Na+],7.42712839779952,610.2255228760001,7,2,1.7190999999999999,True
121,CHEMBL503,39.0,nM,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,7.4089353929735005,404.2562742519999,5,1,4.195500000000004,True
122,CHEMBL64962,40.0,nM,CC(C)c1nn(-c2ccccc2)c(-c2ccc(F)cc2)c1CCC(O)C[C@@H](O)CC(=O)[O-].[Na+],7.397940008672037,462.1930798759999,6,2,-0.00969999999999882,True
123,CHEMBL2368198,50.0,nM,Cc1cc(-c2ccc(F)cc2)c(/C=C/[C@@H]2C[C@@H](O)CC(=O)O2)c(C(C)C)n1,7.301029995663981,369.174021848,4,1,4.399220000000003,True
125,CHEMBL2367471,59.0,nM,CC(C)c1nn(-c2nc3ccccc3s2)c(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-].[Na+],7.229147988357855,517.1447497799999,8,2,0.6806000000000008,True
126,CHEMBL2367475,62.0,nM,CC(C)c1nn(-c2ccc3ccccc3n2)c(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-].[Na+],7.207608310501746,511.18832884399995,7,2,0.6191000000000006,True
127,CHEMBL2111268,90.0,nM,Cc1nc(-c2ccccc2)cc(-c2ccc(F)cc2)c1/C=C/[C@@H]1C[C@@H](O)CC(=O)O1,7.045757490560675,403.1583717839999,4,1,4.9428200000000055,True
128,CHEMBL65037,110.0,nM,CC(C)c1nn(-c2ccccn2)c(-c2ccc(F)cc2)c1CCC(O)C[C@@H](O)CC(=O)[O-].[Na+],6.958607314841775,463.18832884399995,7,2,-0.6146999999999991,True
129,CHEMBL2368194,150.0,nM,COc1ccc(-c2cc(-c3ccccc3)nc(C(C)C)c2/C=C/[C@@H]2C[C@@H](O)CC(=O)O2)cc1,6.823908740944319,443.20965840799994,5,1,5.627300000000007,True
135,CHEMBL169046,300.0,nM,C[C@H](CCCC(C)(C)O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,6.522878745280337,402.349780712,2,2,6.5036000000000085,True
136,CHEMBL156695,370.0,nM,CC(C)c1nc(-c2ccccc2)cc(-c2ccc(F)cc2)c1CCC1C[C@@H](O)CC(=O)O1,6.431798275933005,433.2053219759999,4,1,5.677200000000006,True
138,CHEMBL489540,500.0,nM,CCCCCCCCC#CC#C/C=C/CCCC(=O)O,6.301029995663981,274.193280072,1,1,4.5549000000000035,True
140,CHEMBL133434,1000.0,nM,CC(=O)[C@@]12CC[C@H]([C@H](C)CCCC(C)C)[C@@]1(C)CCC1C2=CCC2C(C)(C)[C@@H](O)CC[C@]12C,6.0,456.396730904,2,1,7.984000000000011,True
141,CHEMBL276717,1290.0,nM,Cc1nnnn1C(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])=C(c1ccc(F)cc1)c1ccc(F)cc1.[Na+],5.889410289700751,478.14285587200004,8,2,-1.5115799999999977,True
143,CHEMBL690,1370.0,nM,CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)[O-])[C@H]21.[Na+],5.863279432843593,446.2280477399999,7,3,-1.8902999999999948,True
145,CHEMBL504781,1500.0,nM,CCCCCCCCC#CC#C/C=C\CCCC(=O)O,5.823908740944319,274.193280072,1,1,4.5549000000000035,True
146,CHEMBL133834,1500.0,nM,CC(C)CCC[C@@H](C)[C@H]1CC[C@@]2(C(C)O)C3=CCC4C(C)(C)[C@@H](O)CC[C@]4(C)C3CC[C@]12C,5.823908740944319,458.412380968,2,2,7.775800000000011,True
148,CHEMBL11891,1720.0,nM,O=C([O-])C[C@H](O)C[C@H](O)/C=C/C(=C(c1ccc(F)cc1)c1ccc(F)cc1)n1cnnn1.[Na+],5.764471553092451,464.12720580800016,8,2,-1.819999999999998,True
150,CHEMBL2111271,2000.0,nM,Cc1cc(-c2ccc(F)cc2)c(/C=C/[C@@H]2C[C@@H](O)CC(=O)O2)c(C)n1,5.698970004336019,341.14272172,4,1,3.584240000000002,True
151,CHEMBL482803,2000.0,nM,CCCCCCCCC#C/C=C/CCCCCC(=O)O,5.698970004336019,278.2245802,1,1,5.331700000000005,True
153,CHEMBL482601,3000.0,nM,CCCCCCCCC#C/C=C\CCCCCC(=O)O,5.522878745280337,278.2245802,1,1,5.331700000000005,True
154,CHEMBL11804,3000.0,nM,Cn1nnnc1C(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])=C(c1ccc(F)cc1)c1ccc(F)cc1.[Na+],5.522878745280337,478.14285587200004,8,2,-1.740499999999998,True
155,CHEMBL501307,3000.0,nM,CCCCC#CC#CCCCCCC(=O)O,5.522878745280337,220.14632988,1,1,3.2185000000000015,True
157,CHEMBL1729,3370.0,nM,COc1cc(N)c(Cl)cc1C(=O)NC1CCN(CCCOc2ccc(F)cc2)CC1OC,5.4723700991286615,465.183062308,6,2,3.358100000000002,True
158,CHEMBL258583,3840.0,nM,CC(C)[C@H](NC(=O)[C@@H](N)Cc1ccc(F)cc1)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)O,5.415668775632469,482.21767755199994,6,6,-0.2247999999999966,True
159,CHEMBL50444,4000.0,nM,CC(O)(CC(=O)O)CC(=O)O,5.3979400086720375,162.05282342,3,3,-0.3132,True
160,CHEMBL1163691,4790.0,nM,CCCc1cc(OC)c(OC)cc1O,5.319664486585436,196.109944372,3,1,2.3619000000000008,True
162,CHEMBL3344536,4940.0,nM,CCC(=O)c1cc(OC)c(OC)cc1O,5.306273051076353,210.089208928,4,1,2.0021,True
163,CHEMBL485858,5000.0,nM,CCCCCCCCC#CC#CCCCCCC(=O)O,5.301029995663981,276.208930136,1,1,4.778900000000004,True
164,CHEMBL482804,5000.0,nM,CCCCCCCCC#CCCCCCCCC(=O)O,5.301029995663981,280.240230264,1,1,5.555700000000005,True
165,CHEMBL2111238,5000.0,nM,Cc1nc(-c2ccccc2)cc(-c2ccc(F)cc2)c1/C=C\[C@@H]1C[C@@H](O)CC(=O)O1,5.301029995663981,403.1583717839999,4,1,4.9428200000000055,True
166,CHEMBL483819,5000.0,nM,CCCCCCCCC#CC#CC1OC1CCCC(=O)O,5.301029995663981,290.18819469199997,2,1,3.7661000000000024,True
167,CHEMBL594813,5610.0,nM,COc1cccc(Sc2c(/C=C/[C@@H]3C[C@@H](O)CC(=O)O3)c(C3CC3)nc3ccc(F)cc23)c1,5.251037138743839,465.141007468,6,1,5.490800000000005,True
169,CHEMBL333306,5860.0,nM,C/C=C/c1cc(OC)c(OC)cc1OC,5.232102383981909,208.109944372,3,0,2.7455000000000007,True
170,CHEMBL1163189,6110.0,nM,CCCc1cc(OC)c(OCC(=O)OC)cc1O,5.213958789757446,254.115423676,5,1,1.9050999999999996,True
171,CHEMBL3344540,6430.0,nM,CCCC(=O)c1cc(OC)c(OCC(=O)OC)cc1O,5.191789027075778,282.110338296,6,1,1.9354,True
172,CHEMBL606813,6930.0,nM,O=C1C[C@H](O)C[C@@H](/C=C/c2c(C3CC3)nc3ccc(F)cc3c2Sc2ccc(F)cc2)O1,5.159266765388193,453.12102097200005,5,1,5.621300000000004,True
174,CHEMBL448462,7000.0,nM,CCCCCCCCC#CC#CC(O)CCCCC(=O)O,5.154901959985743,292.20384475599997,2,2,3.7497000000000025,True
176,CHEMBL2347007,7900.0,nM,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)NO)[C@H]21,5.102372908709558,451.29338803199994,6,4,3.5265000000000013,True
177,CHEMBL2393053,8400.0,nM,CC(C)=C[C@H]1C[C@H](C)[C@]2(CC[C@]3(C)C[C@@H]4C(C)=CC(=O)[C@H]4/C(C=O)=C\C[C@H]32)O1,5.075720713938118,382.25079494799996,3,0,5.213200000000005,True
180,CHEMBL74667,10000.0,nM,CC(C)(O)CCCCc1cccc(/C=C/[C@]2(C)CC[C@@H](O)CC2)c1,5.0,330.255880328,2,2,5.124700000000005,True
181,CHEMBL605514,11300.0,nM,CC(C)c1ccc(Sc2c(/C=C/[C@@H]3C[C@@H](O)CC(=O)O3)c(C3CC3)nc3ccccc23)cc1,4.94692155651658,459.18681478800005,5,1,6.466500000000007,True
183,CHEMBL2347009,14900.0,nM,CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)NO,4.826813731587726,496.17918386799994,8,4,1.8224999999999998,True
184,CHEMBL2347006,15900.0,nM,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)NO)[C@H]21,4.798602875679548,437.27773796799994,6,4,3.136400000000001,True
188,CHEMBL2203595,21700.0,nM,C/C(=C\CC[C@@H](C)[C@H]1C[C@H](O)[C@@]2(C)C3=CC[C@H]4C(C)(C)C(=O)CC[C@]4(C)C3=CC[C@]12C)C(=O)O,4.663540266151471,468.32395988799993,3,2,6.498800000000006,True
190,CHEMBL2203597,22300.0,nM,C/C(=C\CC[C@@H](C)[C@H]1CC[C@@]2(C)C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)C(C)(C)[C@@H]1CC3=O)C(=O)O,4.651695136951839,470.3396099519999,3,2,6.722800000000007,True
192,CHEMBL606359,25700.0,nM,COc1ccc2nc(C3CC3)c(/C=C/[C@@H]3C[C@@H](O)CC(=O)O3)c(Sc3ccc(F)cc3)c2c1,4.590066876668706,465.141007468,6,1,5.4908000000000055,True
194,CHEMBL486985,30200.0,nM,CC1=CCC[C@@H]2[C@@](C)(CCC3=CC(=O)O[C@@H]3O)[C@H](C)CC[C@@]12C,4.519993057042849,318.21949481999997,3,1,4.3670000000000035,True
195,CHEMBL411443,41210.0,nM,CC(C)[C@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)O,4.384997385475412,480.2220139839999,7,7,-0.6582999999999954,True
196,CHEMBL594578,41300.0,nM,COc1ccc2nc(C3CC3)c(/C=C/[C@@H]3C[C@@H](O)CC(=O)O3)c(Sc3ccc(C(C)C)cc3)c2c1,4.384049948343599,489.197379472,6,1,6.4751000000000065,True
197,CHEMBL409841,44810.0,nM,CC(C)[C@H](NC(=O)[C@H](C)NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@@H](CCC(=O)O)C(=O)O,4.348625056086957,480.2220139839999,7,7,-0.6582999999999946,True
199,CHEMBL261748,52670.0,nM,CC[C@H](C)[C@H](N)C(=O)N[C@H](C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)O)C(C)C,4.27843668164252,430.24274942799985,6,6,-0.5604999999999947,True
200,CHEMBL595988,62400.0,nM,O=C1C[C@H](O)C[C@@H](/C=C/c2c(C3CC3)nc3ccccc3c2Sc2ccc(F)cc2)O1,4.204815410317576,435.130442784,5,1,5.482200000000004,True
201,CHEMBL259240,75230.0,nM,CC[C@H](C)[C@H](N)C(=O)N[C@@H](C)C(=O)N[C@H](C(=O)N[C@@H](CCC(=O)O)C(=O)O)C(C)C,4.123608938180812,430.24274942799985,6,6,-0.5604999999999947,True
204,CHEMBL595754,359600.0,nM,COc1cccc(Sc2c(/C=C/[C@@H]3C[C@@H](O)CC(=O)O3)c(C3CC3)nc3cc(F)c(F)cc23)c1,3.4441803169388088,483.131585656,6,1,5.629900000000005,True
205,CHEMBL3986260,387000.0,nM,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)[C@H](O)C2=C[C@@H](O)[C@H](C)[C@H](CC[C@@H]3CC=CC(=O)O3)[C@H]21,3.4122890349810886,420.25118887199994,6,2,3.1663000000000014,True
206,CHEMBL412060,484720.0,nM,CC(C)C[C@H](N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N1CCC[C@H]1C(=O)O,3.3145090605115266,488.2634848719999,6,4,0.8595000000000017,True
207,CHEMBL595984,759000.0,nM,CC(C)c1ccc(Sc2c(/C=C/[C@@H]3C[C@@H](O)CC(=O)O3)c(C3CC3)nc3cc(F)c(F)cc23)cc1,3.11975822410452,495.16797116400005,5,1,6.744700000000006,True
